alternate_positions,avatar_url,common_name,first_name,id,last_name,league_name,nationality_image_url,nationality_label,overall_rating,player_abilities_images,player_abilities_labels,position_short_label,preferred_foot,shield_url,skill_moves,stat_acceleration,stat_aggression,stat_agility,stat_balance,stat_ballControl,stat_composure,stat_crossing,stat_curve,stat_def,stat_defensiveAwareness,stat_dri,stat_dribbling,stat_finishing,stat_freeKickAccuracy,stat_gkDiving,stat_gkHandling,stat_gkKicking,stat_gkPositioning,stat_gkReflexes,stat_headingAccuracy,stat_interceptions,stat_jumping,stat_longPassing,stat_longShots,stat_pac,stat_pas,stat_penalties,stat_phy,stat_positioning,stat_reactions,stat_sho,stat_shortPassing,stat_shotPower,stat_slidingTackle,stat_sprintSpeed,stat_stamina,stat_standingTackle,stat_strength,stat_vision,stat_volleys,team_image_url,team_label,weak_foot
ST|CAM|LW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p238545.webp,,Firas,238545,Al Birekan,ROSHN Saudi League,https://drop-assets.ea.com/images/5z1KkeGbKQO9YFi6rdpu1i/e22181e422e56b017fe7e84bfcf088c6/f_183.png,Saudi Arabia,75,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/2sRRBHcIe0zrDwYaRI2xG3/d02b8c8855de853470897009e030eb5d/Acrobatic.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,Precision Header|Acrobatic|Low Driven Shot|Aerial Fortress,LM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238545_en.webp,3,71,50,69,63,76,75,65,40,37,31,74,74,79,34,8,10,7,5,6,73,31,82,57,58,78,62,68,73,83,79,72,70,70,35,83,87,34,75,61,68,https://drop-assets.ea.com/images/3lVk0osL7o6YMhHuK4YYD6/5e106847b59ce2a4f0bfb55988d812c3/l112387.png,Al Ahli,3
RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p241389.webp,,Yusuf,241389,Sarı,Trendyol Süper Lig,https://drop-assets.ea.com/images/501PnaP87pzjR8dKEQ20OT/7f0fd5c896b732a094222cbf0560b4c2/f_48.png,Turkey,75,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png|https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,Finesse Shot|Rapid|Quick Step,RM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241389_en.webp,4,90,42,91,92,75,67,72,76,33,34,79,80,68,64,11,9,6,10,11,42,30,65,68,72,85,70,67,59,66,70,70,70,77,35,80,72,29,59,69,59,https://drop-assets.ea.com/images/zVaLMDwzieKwlZFk2bZ6K/58d008680451b4cf46041e38987cf69b/l101014.png,Başakşehir,2
LM|LW|ST,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p252937.webp,,Yann,252937,Gboho,Ligue 1 McDonald's,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,France,75,https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Incisive Pass|Inventive|Technical,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252937_en.webp,3,81,59,80,77,79,73,64,63,36,34,79,80,73,58,7,15,11,13,10,53,30,70,61,61,79,70,62,63,74,76,69,76,69,34,78,67,38,61,75,59,https://drop-assets.ea.com/images/5EcfjMCX8afaXxC2kefK7V/41323bd3f20c2b1932bf3e939ddde465/l1809.png,Toulouse FC,3
RM|LW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p261336.webp,,Jaden,261336,Philogene,EFL Championship,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,75,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Gamechanger|Technical,LM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/261336_en.webp,4,80,45,84,71,76,73,71,76,37,37,78,80,74,49,8,6,8,12,13,44,29,62,63,71,82,69,59,59,72,69,71,72,72,37,84,71,40,59,70,57,https://drop-assets.ea.com/images/7fIdsybp17hzndBNSrJIR/b7e1786480ee521c6dca3d3ec45e8d48/l94.png,Ipswich,5
LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p263268.webp,,Yoann,263268,Cathline,Eredivisie,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,France,75,https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Whipped Pass|Technical,LW,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/263268_en.webp,3,81,49,81,79,79,67,70,75,43,41,79,80,70,49,12,10,10,13,14,40,40,58,58,74,83,66,55,55,76,71,70,68,73,45,84,71,48,50,67,50,https://drop-assets.ea.com/images/4lF8ru7zerV5tbWBsvv3Y7/1a6b912ec2658390be93099bdbe463b2/l1903.png,FC Utrecht,2
CAM|RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p274209.webp,Carlos Álvarez,Carlos,274209,Álvarez Rivera,LALIGA EA SPORTS,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,75,,,RM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/274209_en.webp,3,79,41,82,85,77,70,66,65,40,42,78,78,70,59,14,8,11,10,5,45,44,64,71,75,77,72,61,58,69,73,71,76,72,29,76,70,37,58,77,63,https://drop-assets.ea.com/images/2oEcMGN20bO9T7WnqcPZFI/746be807481bcc10a1912919922ac2e5/l1853.png,Levante UD,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p216194.webp,Dani García,Daniel,216194,García Carrillo,Hellas Liga,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,75,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,Bruiser,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/216194_en.webp,3,44,80,62,75,73,68,55,64,73,73,69,66,58,57,6,14,14,6,11,65,76,68,72,66,47,69,58,75,68,77,62,75,70,73,50,72,75,76,72,53,https://drop-assets.ea.com/images/2hyiQlv23Ipa7IOEtN7qAv/39a4514bd5a02d0d6db09d8eb2564c8f/l280.png,Olympiacos FC,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p243456.webp,,Brian,243456,White,MLS,https://drop-assets.ea.com/images/7ZVadlJQIutRH5P85wr76/c2456a2d76146d19f98c2c3071136dcf/f_95.png,United States,75,,,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243456_en.webp,2,75,69,61,63,73,68,44,65,46,42,68,65,79,42,10,11,10,9,5,74,48,87,45,65,77,52,62,78,79,77,74,55,78,23,78,78,47,81,58,58,https://drop-assets.ea.com/images/4B78Zk7BiGtY0lEDTDanGT/ba8604b69a6cab6fd0c668aefebc800c/l101112.png,Whitecaps FC,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p208375.webp,,Marius,208375,Müller,Bundesliga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,75,https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png,Footwork,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/208375_en.webp,1,25,30,34,38,22,30,11,11,30,20,78,14,10,13,75,73,62,76,78,12,14,62,26,12,75,62,18,76,11,70,73,27,47,11,38,35,13,75,51,9,https://drop-assets.ea.com/images/4mw5u30yjPmzh9OVqKB0YV/ad59c24a84c9afb0a877046fadeb9c9e/l175.png,VfL Wolfsburg,2
LM|CAM|RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p247447.webp,,Oliver,247447,Antman,Scottish Prem,https://drop-assets.ea.com/images/6Sccg41DmGVfVmfToj3cf0/d27da9e8cf989a5a7783cf7ea6c3c868/f_17.png,Finland,75,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png,Finesse Shot|Incisive Pass|Inventive|Rapid,RM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247447_en.webp,3,79,50,76,75,75,66,74,64,37,36,73,73,67,62,13,6,11,8,6,50,35,66,66,61,83,73,60,63,69,68,65,74,67,35,87,83,37,58,82,58,https://drop-assets.ea.com/images/5lOjqHjEdrBuaj323x9jDf/b5504a0894594d6c3dfa97cca700e572/l86.png,Rangers,5
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p199813.webp,,Gernot,199813,Trauner,Eredivisie,https://drop-assets.ea.com/images/2nTz63NpDfuBGFbmXrDg0N/eaa6fc81bfd7bd77d76886d479841ebb/f_4.png,Austria,75,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png,Precision Header|Anticipate,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/199813_en.webp,2,46,74,53,60,65,76,57,58,75,76,63,63,50,49,8,7,11,7,9,77,72,82,71,63,55,65,49,79,55,69,56,72,68,74,62,64,76,89,63,48,https://drop-assets.ea.com/images/5mtNVEZ6hTFTu6JoWjYMC3/4b88929cbb2bfbf7dc1ab2e5ce2ce52e/l246.png,Feyenoord,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p201862.webp,,Marcos,201862,Rojo,LPF,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,75,https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png|https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,Long Ball Pass|Slide Tackle|Bruiser,CB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/201862_en.webp,3,52,91,64,64,64,70,63,67,74,72,63,61,50,60,7,8,12,15,10,72,73,78,68,62,53,66,75,77,54,70,60,72,79,77,54,53,76,83,60,48,https://drop-assets.ea.com/images/A8RKWVxKQsKjBbty5kzt6/a21fa30821daf7c6a65546e58558c496/l101085.png,Racing Club,2
RW|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p216258.webp,,Ihlas,216258,Bebou,Bundesliga,https://drop-assets.ea.com/images/fLGa5Rxtd4GoZmazJVia8/af271d52f5dec5ebecd269452ebe474d/f_144.png,Togo,75,https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png|https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png,Rapid|Quick Step,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/216258_en.webp,4,84,40,76,72,77,73,74,66,34,26,78,80,76,46,10,11,12,11,11,64,31,79,53,70,82,68,67,57,78,75,74,74,77,33,81,45,35,68,69,70,https://drop-assets.ea.com/images/1ylwMQ1ia5SGcXYoIKhtdK/b24a8fed6fb30e01ea3fd15184b0046c/l10029.png,TSG Hoffenheim,3
LW|CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p234711.webp,,Josip,234711,Brekalo,LALIGA EA SPORTS,https://drop-assets.ea.com/images/4ZYNK06L8ZkJTrdtSby4NW/eb42cc852fc74ea3d3f5b8904fb5194f/f_10.png,Croatia,75,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Finesse Shot|Whipped Pass|Technical,LM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234711_en.webp,4,79,41,86,83,79,77,74,80,38,35,80,80,70,77,9,7,5,6,14,45,30,60,70,72,75,74,64,54,69,70,72,75,78,40,72,70,42,51,72,68,https://drop-assets.ea.com/images/1T0WoM8QmdkGaHUzqSll3a/13e4f9aa029c861d5766dd1eb4f6a75f/l110827.png,R. Oviedo,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p278668.webp,Zé Pedro,José Pedro,278668,da Silva Figueiredo,Serie A Enilive,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,Portugal,75,,,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/278668_en.webp,2,64,74,60,64,66,67,50,65,75,76,62,57,46,63,8,13,10,7,13,74,74,80,70,51,65,64,70,75,46,74,52,73,65,75,65,71,76,76,57,42,https://drop-assets.ea.com/images/5sjhiBbFzi7mnkVrR5zk76/7ecf5510b695d3053df0fa1f94cd4cea/l1842.png,Cagliari,2
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p252339.webp,Tiago Djaló,Tiago Emanuel,252339,Embaló Djaló,Trendyol Süper Lig,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,Portugal,75,https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,Bruiser,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252339_en.webp,2,72,74,65,36,67,69,57,53,75,75,63,62,36,32,9,9,9,7,6,72,74,86,65,38,76,61,47,75,51,73,42,71,59,73,79,59,77,83,56,35,https://drop-assets.ea.com/images/Sx4dfrxgLrl3y1lm5Wj8p/fe2d92ed674ea49ea5ee3ac8d9842897/l327.png,Beşiktaş,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p263829.webp,Vitinha,Vítor Manuel,263829,Carvalho Oliveira,Serie A Enilive,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,Portugal,75,,,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/263829_en.webp,3,76,86,75,79,74,73,58,63,32,23,75,76,76,56,5,8,6,9,15,73,36,81,59,70,73,63,65,74,77,75,75,67,78,22,71,71,29,70,65,74,https://drop-assets.ea.com/images/K5vcQ5KjT64Rr1dZZu3RG/0955cabcb0645ef5649ed69904e4b502/l110556.png,Genoa,3
CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p74896.webp,,Franjo,74896,Ivanović,Liga Portugal,https://drop-assets.ea.com/images/4ZYNK06L8ZkJTrdtSby4NW/eb42cc852fc74ea3d3f5b8904fb5194f/f_10.png,Croatia,75,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png|https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png,Finesse Shot|Power Shot|Press Proven|Bruiser,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/74896_en.webp,3,70,70,66,59,72,76,64,68,29,25,74,78,83,66,7,8,6,15,10,64,19,75,54,73,72,66,73,72,81,76,78,68,74,24,74,70,31,74,71,75,https://drop-assets.ea.com/images/2DamHkQ1ZP1CYVjFPp6ofg/3e07292021842fdadb7aaaa84e7473aa/l234.png,SL Benfica,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p264337.webp,Rodrigo Muniz,Rodrigo,264337,Muniz Carvalho,Premier League,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,Brazil,75,https://drop-assets.ea.com/images/5Zb5jkAdaqaJSPFvb7W3zl/cf788143996a34edc03b1d1dc6a45169/Acrobatic_.png,Acrobatic+,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/264337_en.webp,3,68,79,70,69,72,71,47,60,42,36,71,70,76,41,12,13,13,11,12,77,38,85,53,64,68,59,65,76,77,76,74,68,79,31,68,69,42,78,65,86,https://drop-assets.ea.com/images/1YL8ULAZyOPtffpFGZcGe8/84ec5701079276f33aa349d253fa0321/l144.png,Fulham,3
RB,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p201143.webp,,Aïssa,201143,Mandi,Ligue 1 McDonald's,https://drop-assets.ea.com/images/7DBnvM9EEo73oK7xEvbWvJ/47a0a190f5a0092fef1bc40e7e74b8f9/f_97.png,Algeria,75,https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png,Slide Tackle,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/201143_en.webp,2,59,76,66,64,71,74,69,67,75,75,67,64,41,49,15,16,9,10,14,77,75,82,75,49,57,71,35,73,65,75,46,76,52,73,55,60,76,78,68,49,https://drop-assets.ea.com/images/tfbRaZiFuJ9jTer1qcf0Z/95171efd06d2494735c0e8a7c5aa9df2/l65.png,LOSC Lille,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p210450.webp,,Abdoulaye,210450,Touré,Ligue 1 McDonald's,https://drop-assets.ea.com/images/1jZz62efwnvqOx0jaHEN9Q/6cb3c202445e6236374c77e551404d11/f_118.png,Guinea,75,https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png,Aerial Fortress,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210450_en.webp,2,41,73,32,34,72,75,48,49,72,74,65,68,57,54,8,15,9,9,7,63,73,70,72,72,42,66,80,80,48,75,64,75,76,65,43,75,74,86,69,42,https://drop-assets.ea.com/images/7IYWPdU9YKwfNMZeFNwkdQ/076a30fc65780281a69cb43ae11a2ba3/l1738.png,Havre AC,3
LW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p231836.webp,,Jesper,231836,Karlsson,Scottish Prem,https://drop-assets.ea.com/images/4ts7Tmr55hzylhHNBA5xsw/073e32f2c968ae9d531bb1d013a350a0/f_46.png,Sweden,75,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/2sRRBHcIe0zrDwYaRI2xG3/d02b8c8855de853470897009e030eb5d/Acrobatic.png|https://drop-assets.ea.com/images/47Ygd5ri33RgjIYGiTAJpj/f0723e6f2f89a98fb6e8200c3659c6a9/Trickster.png,Power Shot|Acrobatic|Trickster,LM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231836_en.webp,4,79,54,84,80,80,75,71,82,35,32,80,80,71,75,13,11,10,10,9,44,35,62,66,79,77,71,77,52,72,73,74,71,77,34,76,63,36,45,72,76,https://drop-assets.ea.com/images/1tNvCEhZUplbj7hMJ6z0dW/e374ae0cfa5fe643725121fc6674d5a1/l77.png,Aberdeen,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p243311.webp,Josep Martínez,Josep,243311,Martínez Riera,Serie A Enilive,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,75,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png|https://drop-assets.ea.com/images/4Uvgm6UNiSz3say1zZqKDC/51837f53072d5e01063699f6d2b7401a/Cross_Claimer.png,Far Throw|Cross Claimer,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243311_en.webp,1,24,24,32,22,11,42,12,11,26,15,74,8,6,12,75,71,67,76,74,11,11,54,24,7,75,67,18,76,11,75,71,27,50,15,30,42,13,58,52,6,https://drop-assets.ea.com/images/1thPMvXN97JgFvt6ASWr4c/d2ca0a691a98c344305bc0975ab70314/l131682.png,Lombardia FC,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p265726.webp,César Tárrega,César,265726,Tárrega Requeni,LALIGA EA SPORTS,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,75,,,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/265726_en.webp,2,60,71,61,72,69,61,45,35,75,77,67,66,31,48,14,11,11,7,5,78,73,86,68,55,63,59,48,80,31,73,45,71,68,73,65,74,73,86,53,45,https://drop-assets.ea.com/images/3rBiULK7uv6Uim0qpaPGXG/123be59c7edf775fa3df08effc267f43/l461.png,Valencia CF,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p268131.webp,,CJ,268131,Egan-Riley,Ligue 1 McDonald's,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,75,https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png,Long Ball Pass|Jockey,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/268131_en.webp,2,74,78,54,70,69,75,54,59,75,76,67,66,28,27,14,5,6,7,8,72,73,84,73,23,76,61,42,78,32,75,32,71,47,75,78,77,76,78,50,30,https://drop-assets.ea.com/images/3t06Qm41tT2gB8NqJYXdue/928373951a71a9a8565497e6481925d1/l219.png,OM,3
ST|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p219575.webp,,Cristian,219575,Bordacahar,Sudamericana,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,75,https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png,Whipped Pass|Technical,RW,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/219575_en.webp,4,82,31,76,64,81,59,70,53,28,23,78,82,69,56,14,12,15,9,15,71,16,83,72,59,83,69,66,64,75,60,66,73,65,22,84,75,27,69,65,53,https://drop-assets.ea.com/images/7iQDZdMOxSlteY11ayFQqQ/2a62ec93e2ac3ec46c10e21c9b468515/l111334.png,FBC Melgar,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p277025.webp,,Sampson,277025,Dweh,Česká Liga,https://drop-assets.ea.com/images/7b3zDV8DmoqG6Joj5Owrz5/e3609e3bed6fdc3da7898f6f057bd357/f_122.png,Liberia,75,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png,Intercept,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/277025_en.webp,2,71,75,60,63,72,69,47,29,75,72,68,66,31,32,9,6,8,8,12,78,75,87,70,36,73,62,42,76,41,76,34,74,38,73,74,68,76,79,66,26,https://drop-assets.ea.com/images/5LmNp7F4reMrhue3FZ3lD5/7222160e6e0c97516d2c783964ac3c8c/l110468.png,Viktoria Plzeň,2
ST|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p234147.webp,Dany Mota,Dany,234147,Mota Carvalho,Serie BKT,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,Portugal,75,https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png,Gamechanger,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234147_en.webp,3,74,42,71,74,79,76,54,74,31,26,77,78,76,51,13,10,14,6,7,72,22,77,59,73,76,66,71,62,78,76,75,74,75,28,78,72,28,63,72,75,https://drop-assets.ea.com/images/6YrkZJWBBNtoW2AmE6rtnS/2d8db35e1d08805b35c6a770741f9044/l111811.png,Monza,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p251105.webp,,Dejan,251105,Joveljić,MLS,https://drop-assets.ea.com/images/2GKu0zRZkrHdnQe5yZ5cSP/3ef9ea7c2fdd64aba769e1308bf133f0/f_51.png,Serbia,75,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png,Finesse Shot,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/251105_en.webp,3,76,59,74,69,71,67,54,65,32,22,70,68,81,39,9,13,6,7,5,76,28,89,60,63,76,61,70,73,79,71,75,66,75,29,76,71,31,78,66,69,https://drop-assets.ea.com/images/13WhbvGLJR6rx38tqFKd30/5e09806843bc14115cd9bc4b77d09bca/l696.png,Sporting KC,3
